"ID","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1498","36.596767","136.737368","避難所","","","","","","三谷公民館（指定避難場所）","収容人数：138
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0153","金沢市宮野町ホ79","","","","","","","",""
"1499","36.595839","136.735955","避難所","","","","","","三谷小学校（指定避難場所）","収容人数：1356
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0153","金沢市宮野町ニ277","","","","","","","標高：26.5M",""
"1500","36.608065","136.70866","避難所","","","","","","薬師谷公民館（指定避難場所）","収容人数：140
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0173","金沢市不動寺町イ34-1","","","","","","","標高：15.4M",""
"1501","36.608454","136.708621","避難所","","","","","","不動寺小学校（指定避難場所）","収容人数：1408
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0173","金沢市不動寺町イ33","","","","","","","標高：16.0M",""
"1502","36.625904","136.678448","避難所","","","","","","柳瀬川つつみ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3121","金沢市大場町東","","","","","","","",""
"1503","36.626012","136.688192","避難所","","","","","","湖陽児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3103","金沢市湖陽１丁目","","","","","","","",""
"1504","36.627243","136.688814","避難所","","","","","","湖陽緑道公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3103","金沢市湖陽１丁目","","","","","","","",""
"1505","36.626614","136.691389","避難所","","","","","","北部公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3117","金沢市北森本町","","","","","","","",""
"1506","36.635289","136.672918","避難所","","","","","","競馬場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3105","金沢市八田町西１","","","","","","","",""
"1507","36.624178","136.686892","避難所","","","","","","金沢向陽高校（指定避難場所）","収容人数：457
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-3121","金沢市大場町東590","","","","","","","標高：2.9M",""
"1508","36.633183","136.686089","避難所","","","","","","湖南公民館（指定避難場所）","収容人数：111
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-3104","金沢市八田町東1459","","","","","","","標高：1.1M",""
"1509","36.627772","136.773839","避難所","","","","","","旧上平小学校（指定避難場所）","収容人数：161
災害適否  地震：利用不可 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0122","金沢市上平町ハ２５","","","","","","","標高：93.8M",""
"1510","36.622653","136.755593","避難所","","","","","","旧朝日小学校（指定避難場所）","収容人数：315
災害適否  地震：利用不可 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0114","金沢市加賀朝日町ホ33","","","","","","","標高：161.1M",""
"1511","36.633483","136.707671","避難所","","","","","","花園公民館（指定避難場所）","収容人数：112
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0106","金沢市今町チ41","","","","","","","標高：3.0M",""
"1512","36.632644","136.708209","避難所","","","","","","花園小学校（指定避難場所）","収容人数：1225
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0106","金沢市今町ヌ34","","","","","","","標高：5.0M",""
"1513","36.615213","136.696772","避難所","","","","","","森本こどもグラウンド（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3113","金沢市塚崎町ハ47-1","","","","","","","",""
"1514","36.616339","136.698538","避難所","","","","","","森本しちょうが丘公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3116","金沢市南森本町ワ102","","","","","","","",""
"1515","36.609586","136.692535","避難所","","","","","","吉原児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3114","金沢市吉原町ヨ23","","","","","","","",""
"1516","36.615877","136.6925","避難所","","","","","","森本市民体育館（指定避難場所）","収容人数：399
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3115","金沢市弥勒町ヨ50-1","","","","","","","標高：5.7M",""
