ID,名称,経度,緯度
1537,田上中央公園（指定避難場所）,136.6966138,36.54318060000001
1538,旭町中央公園（指定避難場所）,136.6840009,36.553768
1603,安原中央公園（指定避難場所）,136.57737590000002,36.563579100000005
1614,古府中央公園（指定避難場所）,136.6075697,36.571034399999995
1740,入江第１児童公園（指定避難場所）,136.6268568,36.5662823
1741,神田交通公園（指定避難場所）,136.6306624,36.5609386
1762,木越運動公園（指定避難場所）,136.66661069999998,36.6179206
1793,弓取町児童公園（指定避難場所）,136.64011010000002,36.6113155
1873,犀川緑地（指定避難場所）,136.640567,36.566652000000005
1901,犀川緑地（指定避難場所）,136.663581,36.547908
1905,犀川緑地（指定避難場所）,136.654032,36.555096
1929,犀川緑地（指定避難場所）,136.663366,36.546917
1877,金沢城公園（指定避難場所）,136.660637,36.565847
2021,千木日吉の森公園（指定避難場所）,136.667437,36.611059999999995
2020,金市やすらぎ公園（指定避難場所）,136.681548,36.610634999999995
2022,鞍月セントラルパーク（指定避難場所）,136.624768,36.592494
2025,産王の杜公園（指定避難場所）,136.586026,36.562468
2027,きびきの中央公園（指定避難場所）,136.604458,36.601788
2028,松村あおぞら公園（指定避難場所）,136.61559499999998,36.582190000000004
2029,無量寺ベイパーク（指定避難場所）,136.613127,36.599833000000004
2030,無量寺うみかぜ公園（指定避難場所）,136.615112,36.602408000000004
2031,大野湊緑地公園（指定避難場所）,136.597061,36.596278999999996
2032,笠舞第２児童公園（指定避難場所）,136.673237,36.549485
2033,大桑かやのした公園（指定避難場所）,136.677447,36.535719
1503,湖陽児童公園（指定避難場所）,136.688192,36.626012
1502,柳瀬川つつみ公園（指定避難場所）,136.678448,36.625904
1504,湖陽緑道公園（指定避難場所）,136.68881399999998,36.627243
1505,北部公園（指定避難場所）,136.691389,36.626614000000004
1506,競馬場（指定避難場所）,136.67291799999998,36.635289
1513,森本こどもグラウンド（指定避難場所）,136.696772,36.615213
1514,森本しちょうが丘公園（指定避難場所）,136.69853799999999,36.616339
1515,吉原児童公園（指定避難場所）,136.69253500000002,36.609586
1524,戸室スポーツ広場（指定避難場所）,136.73193899999998,36.546368
1528,太陽が丘詩の木公園（指定避難場所）,136.705779,36.529666
1529,太陽が丘ゆうひみ公園（指定避難場所）,136.70566100000002,36.53333
1530,奥卯辰山健民公園（指定避難場所）,136.696603,36.560421000000005
1531,医王の杜公園（指定避難場所）,136.68773000000002,36.552333000000004
1532,若松八幡さん公園（指定避難場所）,136.688977,36.55748
1533,中瀬栃の木公園（指定避難場所）,136.691572,36.550463
1534,若松せせらぎ公園（指定避難場所）,136.69126,36.554139
1535,浅野川すずかけ公園（指定避難場所）,136.684871,36.555721999999996
1536,若松町第２児童公園（指定避難場所）,136.694182,36.557817
1539,旭町なかよし公園（指定避難場所）,136.68133,36.555796
1540,旭町河畔公園（指定避難場所）,136.687929,36.550764
1541,田上児童公園（指定避難場所）,136.69994599999998,36.543026
1547,犀清台児童公園（指定避難場所）,136.684472,36.522795
1553,内川スポーツ広場（指定避難場所）,136.686611,36.511779
1557,土清水たかみ公園（指定避難場所）,136.69118600000002,36.525618
1558,土清水なかの公園（指定避難場所）,136.691364,36.528314
1559,土清水みすぎ公園（指定避難場所）,136.690992,36.532135
1560,小立野児童公園（指定避難場所）,136.68293400000002,36.545039
1561,三口新町第３児童公園（指定避難場所）,136.677299,36.543713000000004
1562,三口新町第２児童公園（指定避難場所）,136.68081,36.539731
1563,三口新町第１児童公園（指定避難場所）,136.681193,36.543928
1564,涌波堤公園（指定避難場所）,136.68878600000002,36.533258000000004
1567,笠舞第３児童公園（指定避難場所）,136.67541,36.547852
1577,金石銭五公園（指定避難場所）,136.597032,36.607683
1583,無量寺公園（指定避難場所）,136.60823200000002,36.605055
1588,藤江北中央公園（指定避難場所）,136.62216999999998,36.589565
1589,藤江北やすらぎ公園（指定避難場所）,136.620074,36.59193
1590,松村第２公園（指定避難場所）,136.614206,36.585716
1591,畝田町児童公園（指定避難場所）,136.614059,36.595333000000004
1595,上安原中央公園（指定避難場所）,136.59056,36.565349
1596,福増ゆめ公園（指定避難場所）,136.581049,36.561201000000004
1597,福増あじさい公園（指定避難場所）,136.582122,36.562891
1598,打木町くろまつ公園（指定避難場所）,136.569794,36.568203000000004
1599,打木町東児童公園（指定避難場所）,136.572498,36.569134000000005
1600,みどり第２児童公園（指定避難場所）,136.590725,36.568763
1601,みどり庭園公園（指定避難場所）,136.584028,36.567409999999995
1602,みどり中央公園（指定避難場所）,136.57708300000002,36.565756
1604,安原スポーツ広場（指定避難場所）,136.573433,36.570058
1609,加賀友禅染色団地公園（指定避難場所）,136.58664,36.582953
1610,専光寺五本松公園（指定避難場所）,136.58058400000002,36.582138
1611,西部緑地公園（指定避難場所）,136.601568,36.573749
1612,松島町西公園（指定避難場所）,136.601472,36.566532
1613,古府徳代公園（指定避難場所）,136.609579,36.566568
